0,3.236
1,3.319
2,3.4535
3,3.455
4,3.306
5,3.609
6,3.564
7,3.4475
8,3.5435
9,3.592
0,3.287
1,3.791
2,3.465
3,3.555
4,3.7155
5,3.6865
6,3.635
7,3.727
8,3.6855
9,3.838
0,3.2565
1,3.426
2,3.532
3,3.4445
4,3.8985
5,3.745
6,3.877
7,3.74
8,3.88
9,3.8235
0,3.456
1,3.4435
2,3.7845
3,3.6585
4,3.457
5,3.612
6,3.579
7,3.7055
8,3.722
9,3.5425
0,3.5515
1,3.5145
2,3.896
3,3.563
4,3.75
5,3.634
6,3.916
7,3.7515
8,3.8055
9,3.754
